population,price,income,employment,poverty,area,tract
5537,385500,87178,68.5,235,278,"Census Tract 1343.03, Los Angeles County, California"
3079,474000,87928,59.8,308,279,"Census Tract 1343.04, Los Angeles County, California"
4590,0,42651,71.4,846,280,"Census Tract 1343.05, Los Angeles County, California"
3451,411400,73194,61.5,364,281,"Census Tract 1343.06, Los Angeles County, California"
3921,707100,126122,62.2,101,282,"Census Tract 1344.21, Los Angeles County, California"
4753,581500,109113,61.1,283,283,"Census Tract 1344.22, Los Angeles County, California"
3530,641600,93081,58,105,284,"Census Tract 1344.23, Los Angeles County, California"
2837,871500,159817,68.9,3,285,"Census Tract 1344.24, Los Angeles County, California"
5256,254700,42581,71,573,286,"Census Tract 1345.20, Los Angeles County, California"
2477,412500,50099,74.1,226,287,"Census Tract 1345.21, Los Angeles County, California"
3791,378400,45424,74.6,431,288,"Census Tract 1345.22, Los Angeles County, California"
5769,396300,56313,72.7,860,289,"Census Tract 1347.10, Los Angeles County, California"
4927,373400,60707,70.6,388,290,"Census Tract 1347.20, Los Angeles County, California"
5931,437800,75110,63.9,453,291,"Census Tract 1348, Los Angeles County, California"
2956,488000,80356,65.9,283,292,"Census Tract 1349.01, Los Angeles County, California"
4617,0,59186,75,286,293,"Census Tract 1349.03, Los Angeles County, California"
4641,431300,62163,66.4,388,294,"Census Tract 1349.04, Los Angeles County, California"
2871,637500,117253,82.5,171,295,"Census Tract 1349.05, Los Angeles County, California"
3706,577200,86976,62.3,327,296,"Census Tract 1351.02, Los Angeles County, California"
2985,495300,86788,70.3,122,297,"Census Tract 1351.11, Los Angeles County, California"
2928,173700,78323,69.3,235,298,"Census Tract 1351.13, Los Angeles County, California"
4366,394000,67155,59.6,224,299,"Census Tract 1351.14, Los Angeles County, California"
2649,526200,120757,54.3,179,300,"Census Tract 1352.01, Los Angeles County, California"
4364,551700,99570,65.1,181,301,"Census Tract 1352.02, Los Angeles County, California"
7298,588800,99164,62,535,302,"Census Tract 1352.03, Los Angeles County, California"
4880,389100,134669,60,104,303,"Census Tract 1370, Los Angeles County, California"
4390,631200,92470,79.2,173,304,"Census Tract 1371.03, Los Angeles County, California"
2720,599000,107498,61.4,65,305,"Census Tract 1371.04, Los Angeles County, California"
5670,793200,75521,64.7,330,306,"Census Tract 1372.01, Los Angeles County, California"
2284,726700,162449,55.5,83,307,"Census Tract 1373.01, Los Angeles County, California"
4571,681900,128448,63,196,308,"Census Tract 1373.02, Los Angeles County, California"
4183,825500,129327,67.2,146,309,"Census Tract 1374.01, Los Angeles County, California"
5904,942300,111923,60.9,347,310,"Census Tract 1374.02, Los Angeles County, California"
